link,image_url
https://www.allrecipes.com/recipe/213849/caprese-on-a-stick/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1387537.jpg
https://www.allrecipes.com/recipe/284069/air-fried-bacon-wrapped-shrimp/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F05%2F03%2FAir-Fried-Bacon-Wrapped-Shrimp-1-by-1-2000.jpg
https://www.allrecipes.com/recipe/256882/dill-pickle-dip/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4463199.jpg
https://www.allrecipes.com/recipe/270257/zucchini-parmesan-cheese-fritters/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2019%2F11%2F3491215-zucchini-parmesan-cheese-fritters-photo-by-veggiecravings.jpg
https://www.allrecipes.com/recipe/223197/cinco-de-mayo-salsa-cruda/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F855880.jpg
https://www.allrecipes.com/recipe/39643/baby-blt/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1421591.jpg
https://www.allrecipes.com/recipe/215701/grilled-jalapeno-poppers/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F06%2F29%2F4530082-grilled-jalapeno-poppers-Christina-1x1-1.jpg
https://www.allrecipes.com/recipe/22967/nannas-banana-bread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F501041.jpg
https://www.allrecipes.com/recipe/14565/naan/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F-0001%2F11%2F30%2F1016308.jpg
https://www.allrecipes.com/recipe/17891/golden-sweet-cornbread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F26%2Fcornbread-1.jpg
https://www.allrecipes.com/recipe/114417/belles-hamburger-buns/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1073329.jpg
https://www.allrecipes.com/recipe/273107/basic-pizza-dough/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2525576.jpg
https://www.allrecipes.com/recipe/71899/pan-de-sal-filipino-bread-rolls/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F784555.jpg
https://www.allrecipes.com/recipe/157642/homemade-flour-tortillas/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F-0001%2F11%2F30%2F663757.jpg
https://www.allrecipes.com/recipe/283940/chef-johns-milk-bread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F11%2F04%2Fimage-360.jpg
https://www.allrecipes.com/recipe/22797/dianas-hawaiian-bread-rolls/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F50654.jpg
https://www.allrecipes.com/recipe/158727/bacon-for-the-family-or-a-crowd/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F06%2F05%2F3882376-bacon-for-the-family-or-a-crowd-sanzoe-4x3-1.jpg
https://www.allrecipes.com/recipe/236372/chef-johns-summer-scrambled-eggs/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2381404.jpg
https://www.allrecipes.com/recipe/20513/classic-waffles/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F06%2F16%2F20513_Classic-Waffles_PARKER71_4x3.jpg
https://www.allrecipes.com/recipe/71803/quick-and-easy-home-fries/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F05%2F17%2F2130027-quick-and-easy-home-fries-kenzi-1x1-1.jpg
https://www.allrecipes.com/recipe/150141/aunt-normas-rhubarb-muffins/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F06%2F12%2F441906-aunt-normas-rhubarb-muffins-Alberta-Rose-1x1-1.jpg
https://www.allrecipes.com/recipe/281515/simple-southwestern-breakfast-pizza/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8518586.jpg
https://www.allrecipes.com/recipe/220520/classic-hash-browns/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F04%2F21%2F220520-classic-hash-browns-buckwheatqueen-1x1-1.jpg
https://www.allrecipes.com/recipe/263600/instant-pot-paleo-and-keto-egg-shakshuka-with-kale/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5287546.jpg
